Liczba węzłów,Błąd maksymalny dla Newtona,Błąd maksymalny dla Lagrange'a,Błąd średni dla Newtona,Błąd średni dla Lagrange'a
60,4.08814e-02,1.93987e-10,8.12409e-05,2.83011e-13
70,1.46162e+02,2.74875e-09,3.24268e-01,2.88485e-12
80,8.24734e+08,5.64844e-08,1.49511e+06,6.29232e-11
90,4.12396e+13,1.28859e-07,6.69436e+10,1.56105e-10
100,1.57758e+18,2.75134e-07,3.79471e+15,3.08954e-10
110,2.00970e+23,1.06178e-05,3.53110e+20,1.07847e-08
120,3.09910e+28,6.72934e-05,7.13657e+25,6.75431e-08
130,3.90214e+33,2.07231e-04,6.22859e+30,2.08399e-07
140,1.12593e+38,9.18913e-04,2.74575e+35,1.28718e-06
150,4.29621e+43,2.04072e-02,8.06421e+40,2.11072e-05
160,1.38863e+48,2.44579e-01,2.37778e+45,2.45284e-04
170,6.94786e+52,4.66544e-01,9.10868e+49,5.09622e-04
180,5.05008e+58,4.40379e+01,1.05601e+56,4.42207e-02
190,1.49337e+63,2.10426e+02,2.34589e+60,2.11831e-01
200,1.91932e+68,2.68020e+02,3.44546e+65,2.68466e-01
