Liczba węzłów,Błąd maksymalny dla Newtona,Błąd maksymalny dla Lagrange'a,Błąd średni dla Newtona,Błąd średni dla Lagrange'a
2,2.03025e+01,2.03025e+01,2.49503e-01,2.49503e-01
3,2.14233e+01,2.14233e+01,3.05794e-01,3.05794e-01
4,2.03025e+01,2.03025e+01,2.49503e-01,2.49503e-01
5,2.59219e+01,2.59219e+01,3.22003e-01,3.22003e-01
6,2.47427e+01,2.47427e+01,3.24710e-01,3.24710e-01
7,3.32532e+01,3.32532e+01,3.74418e-01,3.74418e-01
8,6.46598e+01,6.46598e+01,5.87589e-01,5.87589e-01
9,1.01240e+02,1.01240e+02,9.27847e-01,9.27847e-01
10,2.03025e+01,2.03025e+01,2.49503e-01,2.49503e-01
11,2.44977e+02,2.44977e+02,1.84585e+00,1.84585e+00
12,3.02427e+02,3.02427e+02,1.65711e+00,1.65711e+00
13,2.58872e+02,2.58872e+02,1.81724e+00,1.81724e+00
14,5.73773e+02,5.73773e+02,2.12313e+00,2.12313e+00
15,2.39097e+02,2.39097e+02,1.31744e+00,1.31744e+00
16,5.48718e+02,5.48718e+02,1.56034e+00,1.56034e+00
17,1.45325e+02,1.45325e+02,7.55610e-01,7.55610e-01
18,3.39761e+02,3.39761e+02,8.07756e-01,8.07756e-01
19,7.71324e+01,7.71324e+01,3.47281e-01,3.47281e-01
20,1.51471e+02,1.51471e+02,3.19358e-01,3.19358e-01
21,4.45009e+01,4.45009e+01,1.30295e-01,1.30295e-01
22,5.16483e+01,5.16483e+01,1.00461e-01,1.00461e-01
23,1.74173e+01,1.74173e+01,4.04253e-02,4.04253e-02
24,1.40146e+01,1.40146e+01,2.57927e-02,2.57927e-02
25,5.14963e+00,5.14963e+00,1.04481e-02,1.04481e-02
26,3.11323e+00,3.11323e+00,5.50775e-03,5.50775e-03
27,1.21261e+00,1.21261e+00,2.26607e-03,2.26607e-03
28,5.78443e-01,5.78443e-01,9.93456e-04,9.93456e-04
29,2.34953e-01,2.34953e-01,4.16246e-04,4.16246e-04
30,9.14233e-02,9.14233e-02,1.53379e-04,1.53379e-04
31,3.83204e-02,3.83205e-02,6.54227e-05,6.54226e-05
32,1.24609e-02,1.24608e-02,2.05028e-05,2.05027e-05
33,5.35150e-03,5.35203e-03,8.88920e-06,8.89012e-06
34,1.48162e-03,1.48148e-03,2.39717e-06,2.39695e-06
35,6.48645e-04,6.47971e-04,1.05455e-06,1.05322e-06
