Liczba węzłów,Błąd średni dla sklejania naturalnego,Błąd maks. dla sklejania naturalnego,Błąd średni dla sklejania clamped,Błąd maks. dla sklejania clamped
2,1.66335e-01,1.35350e+01,1.02646e+00,5.70241e+01
3,2.00875e-01,1.39013e+01,6.62564e-01,4.82726e+01
4,1.66335e-01,1.35350e+01,3.37222e-01,3.32536e+01
5,2.14191e-01,1.68348e+01,2.92370e-01,2.82847e+01
6,2.15477e-01,1.65459e+01,2.28030e-01,2.05882e+01
7,2.28170e-01,1.94588e+01,1.92850e-01,1.81673e+01
8,2.10226e-01,2.06459e+01,1.38208e-01,1.08866e+01
9,1.81122e-01,1.80981e+01,1.08956e-01,9.30147e+00
10,1.66335e-01,1.35350e+01,1.26935e-01,9.48101e+00
11,1.03685e-01,9.17850e+00,7.60624e-02,6.26673e+00
12,5.95165e-02,5.99465e+00,4.03794e-02,3.31235e+00
13,3.71790e-02,3.92831e+00,2.54524e-02,1.99366e+00
14,2.41636e-02,2.63764e+00,1.68892e-02,1.56939e+00
15,1.62931e-02,1.82741e+00,1.15736e-02,1.01634e+00
16,1.13772e-02,1.30775e+00,8.15160e-03,8.43847e-01
17,8.20443e-03,9.65171e-01,5.88596e-03,6.35855e-01
18,6.09108e-03,7.32421e-01,4.34697e-03,4.54589e-01
19,4.64161e-03,5.69718e-01,3.27632e-03,3.13974e-01
20,3.62072e-03,4.53235e-01,2.51488e-03,2.11683e-01
21,2.88435e-03,3.89905e-01,1.96228e-03,1.83345e-01
22,2.34173e-03,3.52151e-01,1.55380e-03,1.57011e-01
23,1.93416e-03,3.21818e-01,1.24675e-03,1.33774e-01
24,1.62275e-03,2.97090e-01,1.01240e-03,1.13651e-01
25,1.38111e-03,2.76660e-01,8.31053e-04,9.65870e-02
26,1.19099e-03,2.59578e-01,6.88936e-04,8.21822e-02
27,1.03953e-03,2.45138e-01,5.76276e-04,7.00979e-02
28,9.17467e-04,2.32811e-01,4.86021e-04,5.99125e-02
29,8.18078e-04,2.22192e-01,4.13014e-04,5.13878e-02
30,7.36374e-04,2.12969e-01,3.53433e-04,4.42563e-02
31,6.68617e-04,2.04898e-01,3.04408e-04,3.82584e-02
32,6.11968e-04,1.97787e-01,2.63763e-04,3.31599e-02
33,5.64247e-04,1.91482e-01,2.29828e-04,2.92651e-02
34,5.23764e-04,1.85860e-01,2.01311e-04,2.73645e-02
35,4.89191e-04,1.80820e-01,1.77200e-04,2.56582e-02
