Liczba węzłów,Błąd średni.dla sklejania naturalnego,Błąd maks. dla sklejania naturalnego,Błąd średni dla sklejania clamped,Błąd maks. dla sklejania clamped
2,1.66335e-01,1.35350e+01,7.14979e-01,3.54574e+01
3,2.05685e-01,1.54239e+01,4.52969e-01,3.01131e+01
4,1.66335e-01,1.35350e+01,2.88750e-01,1.92931e+01
5,2.15897e-01,1.63502e+01,2.66068e-01,2.31974e+01
6,2.17363e-01,1.64341e+01,2.66710e-01,2.15868e+01
7,2.46608e-01,1.98273e+01,2.84621e-01,2.18727e+01
8,3.18552e-01,3.38969e+01,3.64905e-01,3.84923e+01
9,4.44228e-01,4.03974e+01,3.91101e-01,3.64339e+01
10,1.66335e-01,1.35350e+01,2.26573e-01,1.68968e+01
11,2.57669e-01,2.01713e+01,3.04354e-01,2.30136e+01
12,2.22967e-01,2.03381e+01,1.87188e-01,1.79332e+01
13,1.19108e-01,8.95022e+00,8.81432e-02,6.90838e+00
14,9.33877e-02,7.84922e+00,6.19826e-02,6.11329e+00
15,6.73482e-02,4.73848e+00,3.99410e-02,3.26009e+00
16,5.60587e-02,4.35721e+00,3.08731e-02,3.39878e+00
17,4.43416e-02,3.12035e+00,2.22434e-02,1.99075e+00
18,3.82275e-02,3.33199e+00,1.82278e-02,2.48824e+00
19,3.15717e-02,2.01618e+00,1.39049e-02,1.35154e+00
20,2.78896e-02,2.69866e+00,1.18948e-02,1.94917e+00
21,2.36082e-02,1.41341e+00,9.38052e-03,1.10639e+00
22,2.12557e-02,2.26669e+00,8.31169e-03,1.59475e+00
23,1.82752e-02,1.08460e+00,6.68671e-03,9.37074e-01
24,1.67201e-02,1.95287e+00,6.11044e-03,1.34516e+00
25,1.45245e-02,8.45087e-01,4.97242e-03,8.13277e-01
26,1.34789e-02,1.71470e+00,4.67424e-03,1.16064e+00
27,1.17889e-02,6.70343e-01,3.82510e-03,7.18954e-01
28,1.10840e-02,1.52799e+00,3.69270e-03,1.01918e+00
29,9.73565e-03,5.41545e-01,3.02619e-03,6.44800e-01
30,9.26693e-03,1.37793e+00,2.99651e-03,9.07610e-01
31,8.15828e-03,4.44557e-01,2.45176e-03,5.85050e-01
32,7.85808e-03,1.25488e+00,2.48738e-03,8.17606e-01
33,6.92255e-03,3.70156e-01,2.02763e-03,5.35938e-01
34,6.74558e-03,1.15231e+00,2.10533e-03,7.43632e-01
35,5.93818e-03,3.12378e-01,1.70738e-03,4.94900e-01
36,5.85321e-03,1.06563e+00,1.81222e-03,6.81878e-01
37,5.14261e-03,2.66763e-01,1.46089e-03,4.60131e-01
38,5.12759e-03,9.91496e-01,1.58295e-03,6.29638e-01
39,4.49140e-03,2.29859e-01,1.26796e-03,4.30322e-01
40,4.53044e-03,9.27455e-01,1.40052e-03,5.84940e-01
