Liczba węzłów,Błąd maksymalny dla Hermita,Błąd średni dla Hermita
2,4.15206e+01,7.90953e-01
3,3.11431e+01,2.31569e-01
4,2.84986e+01,2.82504e-01
5,1.41412e+01,1.74506e-01
6,2.07070e+01,2.61082e-01
7,1.71449e+01,1.96488e-01
8,1.62386e+01,1.94725e-01
9,9.37463e+00,1.17234e-01
10,1.19902e+01,6.80106e-02
11,1.75892e+00,2.49314e-02
12,2.08082e+00,1.05341e-02
13,1.06183e+00,2.46736e-03
14,2.50717e-01,1.10115e-03
15,5.63769e-02,1.78477e-04
16,2.86043e-02,5.08453e-05
17,6.11271e-03,9.36132e-06
18,6.46549e-04,1.84093e-06
19,2.22243e-04,3.40658e-07
20,5.09171e-05,7.27984e-08
21,6.34156e-06,8.91333e-09
22,9.33066e-07,2.30146e-09
23,8.68820e-07,2.43818e-09
24,9.23149e-07,2.53812e-09
25,1.44738e-06,4.12240e-09
26,1.58666e-06,5.37255e-09
27,2.16675e-06,6.46585e-09
28,3.19737e-06,1.03262e-08
29,4.38018e-06,1.21810e-08
30,6.85770e-06,1.80160e-08
31,9.77802e-06,2.61183e-08
32,7.01160e-06,2.30763e-08
33,1.07012e-05,2.34900e-08
34,1.43485e-05,3.45809e-08
35,1.58275e-05,3.97770e-08
