Liczba węzłów,Błąd maksymalny dla Hermita,Błąd średni dla Hermita
2,2.49437e+01,2.49437e+01
3,2.24353e+01,2.24353e+01
4,2.00098e+01,2.00098e+01
5,2.10702e+01,2.10702e+01
6,1.90897e+01,1.90897e+01
7,1.61568e+01,1.61568e+01
8,1.61024e+01,1.61024e+01
9,1.60847e+01,1.60847e+01
10,2.58028e+01,2.58028e+01
11,2.41450e+01,2.41450e+01
12,1.04523e+01,1.04523e+01
13,2.51496e+01,2.51496e+01
14,2.02046e+01,2.02046e+01
15,9.04160e+00,9.04160e+00
16,1.62046e+01,1.62046e+01
17,9.24396e-01,9.24396e-01
18,7.08841e+00,7.08841e+00
19,8.03439e-01,8.03439e-01
20,2.11181e+00,2.11181e+00
21,3.99618e-01,3.99618e-01
22,4.69153e-01,4.69153e-01
23,1.10471e-01,1.10471e-01
24,8.17991e-02,8.17991e-02
25,2.17938e-02,2.17938e-02
26,1.15771e-02,1.15771e-02
27,3.33978e-03,3.33978e-03
28,1.36278e-03,1.36278e-03
29,4.15489e-04,4.15489e-04
30,1.35918e-04,1.35918e-04
31,4.31529e-05,4.31529e-05
32,1.16562e-05,1.16562e-05
33,3.81667e-06,3.81667e-06
34,8.69990e-07,8.69990e-07
35,1.02468e-06,1.02468e-06
