Liczba węzłów,Błąd maksymalny dla Hermita,Błąd średni dla Hermita
2,5.70241e+01,1.02646e+00
3,3.50010e+01,3.91534e-01
4,4.96840e+01,5.50871e-01
5,2.35198e+01,2.78399e-01
6,6.45517e+01,5.80441e-01
7,9.51759e+01,7.44506e-01
8,6.61124e+01,4.72044e-01
9,2.99489e+01,1.99435e-01
10,1.07843e+01,6.29924e-02
11,3.97910e+00,1.59066e-02
12,1.15037e+00,3.36982e-03
13,2.69334e-01,6.20529e-04
14,5.23246e-02,1.01458e-04
15,8.59465e-03,1.48414e-05
16,1.21159e-03,1.94135e-06
17,1.48269e-04,2.26644e-07
18,1.60627e-05,2.39627e-08
19,1.43378e-06,2.06337e-09
20,5.90773e-07,1.47204e-09
21,1.77596e-06,2.84066e-09
22,2.63885e-06,4.47596e-09
23,3.67006e-05,5.06587e-08
24,9.12218e-05,1.25243e-07
25,4.82788e-04,6.59222e-07
26,5.74064e-03,7.78225e-06
27,4.81242e-04,6.50727e-07
28,4.01389e-02,5.36886e-05
29,5.31558e-01,7.06327e-04
30,6.73863e-01,8.90129e-04
31,1.37624e+00,1.80667e-03
32,1.41518e+01,1.84664e-02
33,1.82379e+02,2.36613e-01
34,2.52271e+02,3.25437e-01
35,2.44619e+01,3.14671e-02
