Liczba węzłów,Błąd maksymalny dla Hermita,Błąd średni dla Hermita
2,1.35350e+01,1.66335e-01
3,1.42822e+01,2.03863e-01
4,1.35350e+01,1.66335e-01
5,1.72813e+01,2.14669e-01
6,1.64951e+01,2.16473e-01
7,2.21688e+01,2.49612e-01
8,4.31065e+01,3.91726e-01
9,6.74935e+01,6.18565e-01
10,1.35350e+01,1.66335e-01
11,1.63318e+02,1.23057e+00
12,2.01618e+02,1.10474e+00
13,1.72581e+02,1.21149e+00
14,3.82515e+02,1.41542e+00
15,1.59398e+02,8.78295e-01
16,3.65812e+02,1.04023e+00
17,9.68832e+01,5.03740e-01
18,2.26507e+02,5.38504e-01
19,5.14216e+01,2.31520e-01
20,1.00980e+02,2.12905e-01
21,2.96673e+01,8.68635e-02
22,3.44322e+01,6.69739e-02
23,1.16115e+01,2.69502e-02
24,9.34305e+00,1.71951e-02
25,3.43309e+00,6.96540e-03
26,2.07549e+00,3.67183e-03
27,8.08405e-01,1.51071e-03
28,3.85628e-01,6.62304e-04
29,1.56635e-01,2.77498e-04
30,6.09488e-02,1.02253e-04
31,2.55470e-02,4.36151e-05
32,8.30711e-03,1.36684e-05
33,3.56769e-03,5.92619e-06
34,9.87520e-04,1.59778e-06
35,4.32482e-04,7.02897e-07
