Liczba węzłów,Błąd średni,Błąd maksymalny
2,1.66335e-01,1.35350e+01
3,2.17835e-01,1.77272e+01
4,inf,inf
5,2.14612e-01,1.70529e+01
6,2.16473e-01,1.64951e+01
7,2.56367e-01,2.45925e+01
8,2.14777e-01,2.03459e+01
9,1.74409e-01,1.54099e+01
10,1.66335e-01,1.35350e+01
11,1.63664e-01,1.26323e+01
12,1.62175e-01,1.21074e+01
13,1.61089e-01,1.20781e+01
14,1.60212e-01,1.20814e+01
15,1.59476e-01,1.20598e+01
16,1.58848e-01,1.20256e+01
17,1.58308e-01,1.19853e+01
18,1.57841e-01,1.19423e+01
19,1.57437e-01,1.18987e+01
