n,m=2,m=3,m=4,m=5,m=6,m=7,m=8,m=9,m=10,m=11,m=12,m=13,m=14,m=15,m=16,m=17,m=18,m=19,m=20
2,1.663e-01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2.039e-01,2.058e-01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,1.663e-01,1.663e-01,1.663e-01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,1.992e-01,2.147e-01,2.147e-01,2.146e-01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2.093e-01,2.171e-01,2.171e-01,2.165e-01,2.165e-01,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7,1.888e-01,1.984e-01,2.295e-01,2.564e-01,2.496e-01,2.370e-01,-,-,-,-,-,-,-,-,-,-,-,-,-
8,1.750e-01,1.749e-01,1.759e-01,2.148e-01,2.876e-01,3.917e-01,3.985e-01,-,-,-,-,-,-,-,-,-,-,-,-
9,1.692e-01,1.696e-01,1.696e-01,1.744e-01,1.829e-01,2.683e-01,6.186e-01,7.750e-01,-,-,-,-,-,-,-,-,-,-,-
10,1.663e-01,1.663e-01,1.663e-01,1.663e-01,1.663e-01,1.663e-01,1.663e-01,1.663e-01,1.663e-01,-,-,-,-,-,-,-,-,-,-
11,1.647e-01,1.641e-01,1.641e-01,1.637e-01,1.626e-01,1.495e-01,1.400e-01,2.017e-01,1.231e+00,1.459e+00,-,-,-,-,-,-,-,-,-
12,1.637e-01,1.624e-01,1.623e-01,1.622e-01,1.610e-01,1.468e-01,1.388e-01,1.907e-01,5.767e-01,1.104e+00,1.289e+00,-,-,-,-,-,-,-,-
13,1.630e-01,1.612e-01,1.610e-01,1.611e-01,1.601e-01,1.462e-01,1.380e-01,1.644e-01,3.366e-01,4.933e-01,1.227e+00,1.215e+00,-,-,-,-,-,-,-
14,1.625e-01,1.602e-01,1.600e-01,1.602e-01,1.593e-01,1.460e-01,1.374e-01,1.458e-01,2.313e-01,2.741e-01,6.605e-01,1.378e+00,1.686e+00,-,-,-,-,-,-
15,1.622e-01,1.595e-01,1.591e-01,1.595e-01,1.587e-01,1.458e-01,1.369e-01,1.345e-01,1.798e-01,1.840e-01,4.128e-01,8.372e-01,1.083e+00,9.364e-01,-,-,-,-,-
16,1.620e-01,1.589e-01,1.585e-01,1.588e-01,1.581e-01,1.456e-01,1.366e-01,1.277e-01,1.528e-01,1.439e-01,2.799e-01,5.565e-01,6.689e-01,1.539e+00,2.266e+00,-,-,-,-
17,1.618e-01,1.584e-01,1.579e-01,1.583e-01,1.576e-01,1.455e-01,1.363e-01,1.236e-01,1.379e-01,1.249e-01,2.054e-01,3.618e-01,7.258e-01,1.618e+00,6.540e-01,1.249e+00,-,-,-
18,1.617e-01,1.580e-01,1.575e-01,1.578e-01,1.572e-01,1.454e-01,1.362e-01,1.210e-01,1.294e-01,1.154e-01,1.602e-01,2.659e-01,5.784e-01,1.729e-01,1.356e+00,4.832e+00,7.710e-01,-,-
19,1.616e-01,1.577e-01,1.571e-01,1.574e-01,1.569e-01,1.453e-01,1.360e-01,1.194e-01,1.242e-01,1.103e-01,1.315e-01,2.086e-01,7.184e-01,9.534e-02,3.158e-01,4.437e-01,1.877e-01,1.573e-01,-
20,1.615e-01,1.575e-01,1.568e-01,1.571e-01,1.565e-01,1.452e-01,1.359e-01,1.183e-01,1.210e-01,1.074e-01,1.131e-01,1.687e-01,9.348e-02,5.101e+00,4.134e-01,3.804e-01,4.302e-01,4.227e-01,4.994e-02
