n,m=2,m=3,m=4,m=5,m=6,m=7,m=8,m=9,m=10,m=11,m=12,m=13,m=14,m=15,m=16,m=17,m=18,m=19,m=20
2,1.354e+01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,1.428e+01,1.565e+01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,1.354e+01,1.354e+01,1.354e+01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,1.508e+01,1.748e+01,1.728e+01,1.705e+01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,1.602e+01,1.648e+01,1.642e+01,1.650e+01,1.649e+01,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7,1.746e+01,1.731e+01,2.025e+01,2.459e+01,2.217e+01,2.047e+01,-,-,-,-,-,-,-,-,-,-,-,-,-
8,1.539e+01,1.539e+01,1.574e+01,2.035e+01,3.054e+01,4.311e+01,4.422e+01,-,-,-,-,-,-,-,-,-,-,-,-
9,1.426e+01,1.429e+01,1.433e+01,1.541e+01,1.752e+01,2.685e+01,6.749e+01,9.382e+01,-,-,-,-,-,-,-,-,-,-,-
10,1.354e+01,1.354e+01,1.354e+01,1.354e+01,1.354e+01,1.354e+01,1.354e+01,1.354e+01,1.354e+01,-,-,-,-,-,-,-,-,-,-
11,1.303e+01,1.298e+01,1.298e+01,1.263e+01,1.198e+01,1.061e+01,9.663e+00,2.456e+01,1.633e+02,2.391e+02,-,-,-,-,-,-,-,-,-
12,1.265e+01,1.254e+01,1.256e+01,1.211e+01,1.195e+01,1.101e+01,9.802e+00,2.454e+01,9.071e+01,2.015e+02,2.479e+02,-,-,-,-,-,-,-,-
13,1.236e+01,1.219e+01,1.222e+01,1.208e+01,1.200e+01,1.120e+01,9.860e+00,2.142e+01,5.921e+01,9.731e+01,1.744e+02,1.800e+02,-,-,-,-,-,-,-
14,1.231e+01,1.192e+01,1.194e+01,1.208e+01,1.200e+01,1.129e+01,9.887e+00,1.864e+01,4.317e+01,5.523e+01,1.052e+02,3.738e+02,4.711e+02,-,-,-,-,-,-
15,1.242e+01,1.197e+01,1.175e+01,1.206e+01,1.198e+01,1.132e+01,9.902e+00,1.654e+01,3.405e+01,3.544e+01,7.545e+01,2.443e+02,3.250e+02,2.815e+02,-,-,-,-,-
16,1.252e+01,1.201e+01,1.174e+01,1.203e+01,1.195e+01,1.133e+01,9.910e+00,1.501e+01,2.843e+01,2.502e+01,5.695e+01,1.728e+02,2.116e+02,5.161e+02,7.799e+02,-,-,-,-
17,1.260e+01,1.204e+01,1.173e+01,1.199e+01,1.192e+01,1.133e+01,9.915e+00,1.390e+01,2.477e+01,1.906e+01,4.535e+01,1.194e+02,2.316e+02,5.736e+02,2.423e+02,4.770e+02,-,-,-
18,1.267e+01,1.207e+01,1.172e+01,1.194e+01,1.188e+01,1.132e+01,9.917e+00,1.309e+01,2.228e+01,1.540e+01,3.745e+01,9.160e+01,1.168e+02,3.260e+01,5.136e+02,1.883e+03,3.085e+02,-,-
19,1.273e+01,1.210e+01,1.171e+01,1.190e+01,1.184e+01,1.131e+01,9.918e+00,1.250e+01,2.054e+01,1.306e+01,3.183e+01,7.418e+01,1.820e+02,3.755e+01,1.305e+02,1.831e+02,6.746e+01,5.630e+01,-
20,1.278e+01,1.212e+01,1.170e+01,1.186e+01,1.180e+01,1.130e+01,9.918e+00,1.206e+01,1.931e+01,1.149e+01,2.780e+01,6.132e+01,1.701e+01,1.117e+03,1.749e+02,1.623e+02,1.858e+02,1.830e+02,8.116e+00
