m,n=5,n=8,n=10,n=12,n=15,n=18,n=20,n=24,n=28,n=30,n=40,n=50,n=60
2,1.56e+01,1.87e+01,1.35e+01,1.28e+01,1.23e+01,1.21e+01,1.20e+01,1.19e+01,1.19e+01,1.19e+01,1.19e+01,1.19e+01,1.19e+01
3,-,1.97e+01,1.35e+01,1.22e+01,1.15e+01,1.13e+01,1.11e+01,1.10e+01,1.09e+01,1.09e+01,1.08e+01,1.07e+01,1.07e+01
4,-,-,1.35e+01,8.53e+00,8.34e+00,8.83e+00,9.02e+00,9.27e+00,9.42e+00,9.47e+00,9.63e+00,9.71e+00,9.76e+00
5,-,-,-,5.14e+00,4.11e+00,4.69e+00,4.91e+00,5.17e+00,5.32e+00,5.38e+00,5.53e+00,5.60e+00,5.64e+00
6,-,-,-,-,3.21e+00,3.52e+00,3.78e+00,4.10e+00,4.27e+00,4.33e+00,4.50e+00,4.58e+00,4.62e+00
7,-,-,-,-,3.32e+00,2.80e+00,3.13e+00,3.50e+00,3.70e+00,3.77e+00,3.96e+00,4.05e+00,4.09e+00
8,-,-,-,-,-,2.39e+00,2.64e+00,3.09e+00,3.32e+00,3.40e+00,3.61e+00,3.71e+00,3.76e+00
9,-,-,-,-,-,-,2.24e+00,2.77e+00,3.03e+00,3.12e+00,3.37e+00,3.47e+00,3.53e+00
10,-,-,-,-,-,-,-,2.50e+00,2.81e+00,2.91e+00,3.18e+00,3.30e+00,3.36e+00
11,-,-,-,-,-,-,-,2.27e+00,2.62e+00,2.74e+00,3.04e+00,3.16e+00,3.23e+00
13,-,-,-,-,-,-,-,-,2.33e+00,2.47e+00,2.83e+00,2.97e+00,3.04e+00
14,-,-,-,-,-,-,-,-,-,2.36e+00,2.75e+00,2.90e+00,2.98e+00
16,-,-,-,-,-,-,-,-,-,-,2.63e+00,2.80e+00,2.89e+00
19,-,-,-,-,-,-,-,-,-,-,2.51e+00,2.71e+00,2.81e+00
24,-,-,-,-,-,-,-,-,-,-,-,2.67e+00,2.77e+00
29,-,-,-,-,-,-,-,-,-,-,-,-,2.82e+00
