n,Wartość uwarunkowania,Wartość normy
2,3.00000e+00,0.00000e+00
3,8.66667e+00,2.22045e-16
4,1.65000e+01,4.44089e-16
5,2.68000e+01,1.11022e-15
6,3.96667e+01,8.88178e-16
7,5.45714e+01,1.44329e-15
8,7.24167e+01,3.33067e-15
9,9.23810e+01,1.55431e-15
10,1.14729e+02,2.88658e-15
11,1.39783e+02,4.44089e-15
12,1.66822e+02,4.44089e-15
13,1.96757e+02,6.21725e-15
14,2.28887e+02,3.88578e-15
15,2.63294e+02,8.54872e-15
16,3.00528e+02,1.68754e-14
17,3.39726e+02,9.65894e-15
18,3.81736e+02,1.11022e-14
19,4.26037e+02,1.22125e-14
20,4.72505e+02,1.65423e-14
30,1.07287e+03,3.99680e-14
50,3.00181e+03,9.72555e-14
80,7.71473e+03,7.54063e-13
100,1.20697e+04,1.14975e-12
200,4.84006e+04,2.82174e-12
