n,Wartość uwarunkowania,Wartość normy
2,3.00000e+00,0.00000e+00
3,8.66667e+00,5.36442e-08
4,1.65000e+01,9.19615e-08
5,2.68000e+01,4.85352e-07
6,3.96667e+01,1.63487e-07
7,5.45714e+01,4.32655e-07
8,7.24167e+01,5.49386e-07
9,9.23810e+01,7.82044e-07
10,1.14729e+02,9.82874e-07
11,1.39783e+02,3.19000e-06
12,1.66822e+02,7.40801e-07
13,1.96757e+02,1.98514e-06
14,2.28887e+02,1.67000e-06
15,2.63294e+02,2.15880e-06
16,3.00528e+02,1.56594e-06
17,3.39726e+02,5.58215e-06
18,3.81736e+02,3.97117e-06
19,4.26037e+02,1.07496e-05
20,4.72506e+02,4.19709e-06
30,1.07287e+03,1.08057e-05
50,3.00185e+03,2.91198e-05
80,7.71492e+03,1.01598e-04
100,1.20701e+04,1.16953e-04
200,4.84102e+04,3.24496e-04
